name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;271;0;487;3081;1923;3081;1796;0
header;270;157;270;190;1901;190;1901;157
A;1076;225;1076;252;1098;252;1098;225
B;696;597;696;616;710;616;710;597
A;811;693;811;709;818;709;818;693
B;407;739;407;754;416;754;416;739
B;1073;934;1073;961;1095;961;1095;934
A;1800;949;1800;950;1802;950;1802;949
C;515;1250;515;1269;530;1269;530;1250
C;1065;1617;1065;1645;1086;1645;1086;1617
A;1822;1848;1822;1853;1829;1853;1829;1848
D;1060;2298;1060;2325;1083;2325;1083;2298
A;1204;2731;1204;2731;1207;2731;1207;2731
B;697;2750;697;2764;709;2764;709;2750
